id,item_group_id,title,description,link,image_link,price,availability,condition,additional_image_link,sale_price,brand
PIN-101,PIN-1,Bar of Courage Earrings,"Winston Churchill said, ""Success is not final, failure is not fatal: it is the courage to continue that counts."" At Freeleaf, we work with women empowered from a life of abuse and trafficking. It is such a privilege to stand by these women as they courageously press forward on their journey, through every high and low along the way. 
The Bar of Courage symbolizes that journey we are all on and serves as a reminder to not measure our worth by our successes and failures but to take courage and continue on. We are in this together! 
Each earring is hand crafted from rose gold plated metal and string purchased from our local merchant. The knot is 3.5cm long. Comes in  Navy and Silver Grey. Please specify which color you want at purchase. 
",https://www.freeleafltd.com/collections/jewelry/products/bar-of-courage-earrings,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_5253_1200x630.jpg,22.50,In stock,New,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_1576_1200x630.jpg,,Freeleaf
PIN-201,PIN-2,Bar of Courage Necklace ,"Winston Churchill said, ""Success is not final, failure is not fatal: it is the courage to continue that counts."" At Freeleaf, we work with women empowered from a life of abuse and trafficking. It is such a priveldge to stand by these women as they courageously press forward on their journey, through every high and low along the way. 
The Bar of Courage symbolizes that journey we are all on and serves as a reminder to not measure our worth by our successes and failures but to take courage and continue on. We are in this together! 
This necklace is handcrafted from rose gold plated chain and high quality cord. The chain has an adjustable clasp, is 34.4cm long with an additional 5cm attached for the clasp and the knot is 4cm long. Comes in  Navy and Silver Grey. Please specify which color you want at purchase. 
",https://www.freeleafltd.com/collections/jewelry/products/bar-of-courage-necklace,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_5248_1200x630.jpg,29.00,In stock,New,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_1602_1200x630.jpg,,Freeleaf
PIN-301,PIN-3,Be Bold Necklace ,"What do you need to be bold in? Who do you need to be bold for?
Modeled after a fist raised in defiance and strength, the Be Bold necklace serves as a constant reminder towards courage, boldness, and action. 
This necklace is handcrafted with rose gold plated chain and acrylic cord and hits at the collarbone, with an adjustable 5cm clasp. 
 Available in rust, taupe, and royal blue.",https://www.freeleafltd.com/products/be-bold-necklace,https://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_8442_opt2_1200x630.jpg,28.99,In stock ,New,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_7591_1200x630.jpg,,Freeleaf
PIN-401,PIN-4,Belong Bracelet ,"""True belonging only happens when we present our authentic, imperfect selves to the world. Our sense of belonging can never be greater than our level of self-acceptance"" -Brene Brown
Hand made by our staff of survivors, The Belong Bracelet is your daily reminder that despite your faults and failures, you truly do belong.  Each colorful bracelet is handcrafted with an adjustable slip-knot, allowing for a custom fit on any size wrist. Featuring rose gold plated accents, this style is as unique and modern as you are.  Available in magenta, teal, and olive.
Every Freeleaf piece is thoughtfully handcrafted by our staff of strong women overcoming abuse and exploitation. Each and every item is ethically produced for a fair wage, and helps provide holistic care including counseling, vocational training, and more to our staff of survivors. Your purchase helps us create a world where women are {k}not for sale. 
This bracelet includes a magnetic, easy-close clasp to make putting it on yourself a breeze.
",https://www.freeleafltd.com/products/belong-bracelet-unique-adjustable-knot-bracelet,https://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_6438_1200x630.jpg,22.50,In stock ,New,https://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_8383_1200x630.jpg,,Freeleaf
PIN-501,PIN-5,Carrick Bracelet ,"If you're anything like us, this will become the bracelet you literally never take off. Handcrafted of durable Italian cord and a copper plated clasp, it is both comfortable and stylish.
Available in teal, red, blue, coral, and taupe. Also available in XS for those of you who can never find a bracelet that fits! ",https://www.freeleafltd.com/products/carrick-bracelet,https://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_5227-3_1200x630.jpg,19.00,In stock,New,https://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_1991_1200x630.jpg,11.99,Freeleaf
PIN-601,PIN-6,Coasters {set of four} ,"These beautiful coasters are handmade from a single strand of cotton/jute blended rope. Measuring approximately 6"" in diameter, they fit perfectly under drinking glasses, coffee mugs, wine glasses or any normal size cup. 
Can be spot-washed by hand with cool water and set out in the sun to dry. If using any cleaner, please test it on the underneath side to make sure that it will not affect the fiber colors. ",https://www.freeleafltd.com/products/coasters-set-of-four,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_3170_1200x630.jpg,34.00,In Stock,New,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_4992_1200x630.jpg,,Freeleaf
PIN-701,PIN-7,Cotton Round Rug,"This beautiful knotted rug is truly a masterpiece made from a single strand of cotton rope and feels fabulous under your feet!
There are two sizes available:
The small rug is approximately 21 inches in diameter.
The large rug is approximately 33 inches in diameter.

Can be spot-washed by hand with cool water and set out in the sun to dry. If using any cleaner, please test it on the underneath side to make sure that it will not affect the fiber colors.",https://www.freeleafltd.com/products/cotton-round-rug,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_8233_1200x630.jpg,75.00,Out of Stock,New,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_5020_1200x630.jpg,,Freeleaf 
PIN-801,PIN-8,Drop Earrings,"These monkey knot drop earrings are the perfect pop of color for every outfit! Available in black, mustard yellow, burgundy red, teal, and light green. 
Each pair is handcrafted from rose gold plated metal and cord purchased from our local market. The monkey knot measures approximately 1cm in diameter. ",https://www.freeleafltd.com/products/drop-earrings,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_2001_1200x630.jpg,19.50,In Stock,New,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_4789-2_1200x630.jpg,13.65,Freeleaf
PIN-901,PIN-9,Eternity Bracelet ,"What will you do today that will echo in eternity?
By purchasing and wearing this bracelet  you are supporting women's empowerment and human rights both for today and for generations to come.
The dainty Eternity Bracelet is handcrafted with rose gold plated chain and acrylic cord,with an adjustable clasp so you can get the perfect fit. 
Available in rust, taupe, and royal blue.",https://www.freeleafltd.com/products/eternity-bracelet,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_8405_1200x630.jpg,21.00,In Stock,New,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_6626_1200x630.jpg,,Freeleaf
PIN-1001,PIN-10,Eternity Necklace ,"What will you do today that will echo in eternity?
By purchasing and wearing this necklace you are supporting women's empowerment and human rights both for today and for generations to come.
The Eternity Necklace necklace is handcrafted with rose gold plated chain and acrylic cord and hits at the collarbone, with an adjustable clasp. 
Available in rust, taupe, and royal blue.",https://www.freeleafltd.com/products/eternity-necklace,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_8370_1200x630.jpg?v=1581455353,28.99,In Stock,New,http://cdn.shopify.com/s/files/1/0254/2934/4311/products/DSC_6599_1200x630.jpg,,Freeleaf
